Country/Region,Date,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered
Afghanistan,2020-01-22,0,0,0,0,0,0,0
Albania,2020-01-22,0,0,0,0,0,0,0
Algeria,2020-01-22,0,0,0,0,0,0,0
Andorra,2020-01-22,0,0,0,0,0,0,0
Angola,2020-01-22,0,0,0,0,0,0,0
Antigua and Barbuda,2020-01-22,0,0,0,0,0,0,0
Argentina,2020-01-22,0,0,0,0,0,0,0
Armenia,2020-01-22,0,0,0,0,0,0,0
Australia,2020-01-22,0,0,0,0,0,0,0
Austria,2020-01-22,0,0,0,0,0,0,0
Azerbaijan,2020-01-22,0,0,0,0,0,0,0
Bahamas,2020-01-22,0,0,0,0,0,0,0
Bahrain,2020-01-22,0,0,0,0,0,0,0
Bangladesh,2020-01-22,0,0,0,0,0,0,0
Barbados,2020-01-22,0,0,0,0,0,0,0
Belarus,2020-01-22,0,0,0,0,0,0,0
Belgium,2020-01-22,0,0,0,0,0,0,0
Belize,2020-01-22,0,0,0,0,0,0,0
Benin,2020-01-22,0,0,0,0,0,0,0
Bhutan,2020-01-22,0,0,0,0,0,0,0
Bolivia,2020-01-22,0,0,0,0,0,0,0
Bosnia and Herzegovina,2020-01-22,0,0,0,0,0,0,0
Botswana,2020-01-22,0,0,0,0,0,0,0
Brazil,2020-01-22,0,0,0,0,0,0,0
Brunei,2020-01-22,0,0,0,0,0,0,0
Bulgaria,2020-01-22,0,0,0,0,0,0,0
Burkina Faso,2020-01-22,0,0,0,0,0,0,0
Burma,2020-01-22,0,0,0,0,0,0,0
Burundi,2020-01-22,0,0,0,0,0,0,0
Cabo Verde,2020-01-22,0,0,0,0,0,0,0
Cambodia,2020-01-22,0,0,0,0,0,0,0
Cameroon,2020-01-22,0,0,0,0,0,0,0
Canada,2020-01-22,0,0,0,0,0,0,0
Central African Republic,2020-01-22,0,0,0,0,0,0,0
Chad,2020-01-22,0,0,0,0,0,0,0
Chile,2020-01-22,0,0,0,0,0,0,0
China,2020-01-22,548,17,28,503,0,0,0
Colombia,2020-01-22,0,0,0,0,0,0,0
Comoros,2020-01-22,0,0,0,0,0,0,0
Congo (Brazzaville),2020-01-22,0,0,0,0,0,0,0
Congo (Kinshasa),2020-01-22,0,0,0,0,0,0,0
Costa Rica,2020-01-22,0,0,0,0,0,0,0
Cote d'Ivoire,2020-01-22,0,0,0,0,0,0,0
Croatia,2020-01-22,0,0,0,0,0,0,0
Cuba,2020-01-22,0,0,0,0,0,0,0
Cyprus,2020-01-22,0,0,0,0,0,0,0
Czechia,2020-01-22,0,0,0,0,0,0,0
Denmark,2020-01-22,0,0,0,0,0,0,0
Djibouti,2020-01-22,0,0,0,0,0,0,0
Dominica,2020-01-22,0,0,0,0,0,0,0
Dominican Republic,2020-01-22,0,0,0,0,0,0,0
Ecuador,2020-01-22,0,0,0,0,0,0,0
Egypt,2020-01-22,0,0,0,0,0,0,0
El Salvador,2020-01-22,0,0,0,0,0,0,0
Equatorial Guinea,2020-01-22,0,0,0,0,0,0,0
Eritrea,2020-01-22,0,0,0,0,0,0,0
Estonia,2020-01-22,0,0,0,0,0,0,0
Eswatini,2020-01-22,0,0,0,0,0,0,0
Ethiopia,2020-01-22,0,0,0,0,0,0,0
Fiji,2020-01-22,0,0,0,0,0,0,0
Finland,2020-01-22,0,0,0,0,0,0,0
France,2020-01-22,0,0,0,0,0,0,0
Gabon,2020-01-22,0,0,0,0,0,0,0
Gambia,2020-01-22,0,0,0,0,0,0,0
Georgia,2020-01-22,0,0,0,0,0,0,0
Germany,2020-01-22,0,0,0,0,0,0,0
Ghana,2020-01-22,0,0,0,0,0,0,0
